hour,day_of_week,avg_speed_kmh,target_speed,percentile_used,min_speed_mean,max_speed_mean,total_vehicles,traffic_density,speed_factor
0.0,0.0,60.0,60,51,25.44635548878413,102.77187483810806,7247498.0,14.28571428571429,0.8571428571428571
0.0,1.0,60.0,60,50,25.091084081138803,103.16700734209007,7187089.0,14.28571428571429,0.8571428571428571
0.0,2.0,60.0,60,50,24.97871421139416,102.59372712924018,7684853.0,14.28571428571429,0.8571428571428571
0.0,3.0,60.0,60,50,24.98331051733171,103.1255725126333,8090767.0,14.28571428571429,0.8571428571428571
0.0,4.0,60.0,60,51,24.531018928992605,103.07362422635597,8273599.0,14.28571428571429,0.8571428571428571
0.0,5.0,60.0,60,52,24.542592720611108,102.83708651619371,8707681.0,14.28571428571429,0.8571428571428571
0.0,6.0,60.0,60,53,25.27079487993956,102.2947983825966,8184313.0,14.28571428571429,0.8571428571428571
1.0,0.0,60.0,60,49,27.488313106582353,102.05710460958554,4778015.0,14.28571428571429,0.8571428571428571
1.0,1.0,60.0,60,49,27.135121600335072,101.65289956021743,4733624.0,14.28571428571429,0.8571428571428571
1.0,2.0,60.0,60,49,26.77536587323529,101.30067154794924,5000868.0,14.28571428571429,0.8571428571428571
1.0,3.0,60.0,60,49,26.74349861152348,102.29731735857625,5216183.0,14.28571428571429,0.8571428571428571
1.0,4.0,60.0,60,49,26.569594588689732,101.84962465152455,5347366.0,14.28571428571429,0.8571428571428571
1.0,5.0,60.0,60,49,26.126870826617544,102.98354558174958,5932124.0,14.28571428571429,0.8571428571428571
1.0,6.0,60.0,60,49,27.52268115752715,103.03221255584293,5408109.0,14.28571428571429,0.8571428571428571
2.0,0.0,61.0,61,49,29.32943593129568,99.16743239153759,3243139.0,12.857142857142856,0.8714285714285714
2.0,1.0,61.0,61,49,28.717643241238644,99.16268310773225,3374083.0,12.857142857142856,0.8714285714285714
2.0,2.0,61.0,61,50,28.380062981865567,98.62546602960872,3536761.0,12.857142857142856,0.8714285714285714
2.0,3.0,61.0,61,49,28.369425675675675,99.9224039829303,3692820.0,12.857142857142856,0.8714285714285714
2.0,4.0,61.0,61,50,28.01710401545565,99.59079750795381,3842173.0,12.857142857142856,0.8714285714285714
2.0,5.0,61.0,61,49,28.069320433079934,101.35489518544114,3983378.0,12.857142857142856,0.8714285714285714
2.0,6.0,61.0,61,49,29.70812378595567,101.45635649219908,3502484.0,12.857142857142856,0.8714285714285714
3.0,0.0,62.0,62,50,30.278037797894303,98.52538699401175,2756601.0,11.428571428571432,0.8857142857142857
3.0,1.0,62.0,62,50,29.749212528090418,99.57188795802657,2983076.0,11.428571428571432,0.8857142857142857
3.0,2.0,62.0,62,50,29.266875649240216,98.86412149180464,3088255.0,11.428571428571432,0.8857142857142857
3.0,3.0,62.0,62,50,29.230937758143877,99.74681248428689,3279159.0,11.428571428571432,0.8857142857142857
3.0,4.0,62.0,62,50,28.98283026827145,99.33485913280738,3373087.0,11.428571428571432,0.8857142857142857
3.0,5.0,62.0,62,50,28.80984350445868,99.99086876877156,3396042.0,11.428571428571432,0.8857142857142857
3.0,6.0,62.0,62,49,31.26245657837603,99.94225828629324,2668516.0,11.428571428571432,0.8857142857142857
4.0,0.0,62.0,62,50,29.401658834322518,100.44869034468555,3364391.0,11.428571428571432,0.8857142857142857
4.0,1.0,62.0,62,50,28.97827039014527,100.58881465537323,3654984.0,11.428571428571432,0.8857142857142857
4.0,2.0,62.0,62,51,28.435775373707102,99.71377142648295,3757840.0,11.428571428571432,0.8857142857142857
4.0,3.0,62.0,62,50,28.502145195386714,100.6654297972545,3947623.0,11.428571428571432,0.8857142857142857
4.0,4.0,62.0,62,51,28.168016378525934,99.97360327570519,3931314.0,11.428571428571432,0.8857142857142857
4.0,5.0,62.0,62,50,28.521343023850957,99.8392968481002,3652302.0,11.428571428571432,0.8857142857142857
4.0,6.0,62.0,62,49,31.605899598574716,99.61326056560371,2773828.0,11.428571428571432,0.8857142857142857
5.0,0.0,58.0,58,47,25.977595461810655,103.85395012795993,7606510.0,17.14285714285714,0.8285714285714286
5.0,1.0,58.0,58,47,25.617955711292538,103.61694422368326,7964315.0,17.14285714285714,0.8285714285714286
5.0,2.0,58.0,58,47,25.46938775510204,102.98663983403961,8066485.0,17.14285714285714,0.8285714285714286
5.0,3.0,58.0,58,47,25.357400409111396,103.74258918975141,8464933.0,17.14285714285714,0.8285714285714286
5.0,4.0,58.0,58,47,25.30288032382653,102.96225264478952,8247191.0,17.14285714285714,0.8285714285714286
